Name,Region Name,District Name,District Category,District Capital
Sule Salifu,NORTHERN,Tamale Metropolitan,Metropolitan,Tamale
James Cecil Yanwube,NORTHERN,Tatale/Sanguli District,District,Tatale
Fuseni Sakifu Issifu Moshie,NORTHERN,Tolon District,District,Tolon
Alhaji Hammed A. Yussuf,NORTHERN,Yendi Municipal,Municipal,Yendi
Ahmed Abukari Iddirisu,NORTHERN,Zabzugu District,District,Zabzugu
Abdulai Murtada ,NORTHERN,Nanton District,District,Nanton
Alele Veronica Heming,SAVANNAH,Bole District,District,Bole
Iddrisu Salia,SAVANNAH,Central Gonja District,District,Buipe
Richard Broni,SAVANNAH,East Gonja Municipal,Municipal,Salaga
Adam Eliasu,SAVANNAH,North Gonja District,District,Daboya
Losina Barikisu,SAVANNAH,Sawla-Tuna-Kalba District,District,Sawla
Mohammed Musah Tindawu,SAVANNAH,North East Gonja District,District,Kpalbe
Amadu Hamza,UPPER East,Bawku Municipal,Municipal,Bawku
Tahiru Issahaku Ahemed ,UPPER East,Bawku West District,District,Zebilla
Ayinga Abagre Yakubu,UPPER East,Binduri District,District,Binduri
Rex S. A Asanga,UPPER East,Bolgatanga Municipal,Municipal,Bolgatanga
Rita Atanga,UPPER East,Bongo District,District,Bongo
Vida Anaab Akantagriwen,UPPER East,Builsa North Municipal,Municipal,Sandema
Daniel Kwame Gariba,UPPER East,Builsa South District,District,Fumbisi
Musah Osman,UPPER East,Garu District,District,Garu
Joseph Adongo,UPPER East,Kassena Nankana Municipal,Municipal,Navrongo
Gerade Ataogye ,UPPER East,Kassena Nankana West District,District,Paga
Agnes Anamoo,UPPER East,Nabdam District,District,Nangodi
Zubeiru Abdulai,UPPER East,Pusiga District,District,Pusiga
Thomas Pearson Doanab,UPPER East,Talensi District,District,Tongo
David Akologo Amoah,UPPER East,Bolgatanga East District,District,Zuarugu
Issaka Anabid,UPPER East,Tempane District,District,Tempane
Nadi Imoro Sanda,UPPER West,Daffiama Bussie Issa District,District,Issa
Nicholas Soyiri,UPPER West,Jirapa Municipal,Municipal,Jirapa
George Gerade Naluri,UPPER West,Lambussie Karni District,District,Lambussie
Jacob D. Dery,UPPER West,Lawra Municipal,Municipal,Lawra
Kathrine T. Lankono,UPPER West,Nadowli Kaleo District,District,Nadowli
Nero Raymond,UPPER West,Nandom Municipal,Municipal,Nandom
Fuseni Yakubu Batong,UPPER West,Sissala East Municipal,Municipal,Tumu
Ayisha Imoro Batong Hor,UPPER West,Sissala West District,District,Gwollu
Ewurah S.K. Mahama,UPPER West,Wa East District,District,Funsi
Tahiru Issahaku Moamim,UPPER West,Wa Municipal,Municipal,Wa
Vida Diorotey,UPPER West,Wa West District,District,Weichiau
James Etornam Flolu,VOLTA,Afadzato South District,District,Ve-Golokwati
Emelia Amefa Adeiamah,VOLTA,Agotime Ziope District,District,Kpetoe
Martin Kofi Tsey Nyame,VOLTA,Akatsi South Municipal,Municipal,Akatsi
Thomas Moore Zonyarah,VOLTA,Central Tongu District,District,Adidome
Ernest Victor Apau,VOLTA,Ho West District,District,Dzolokpuita
Noble Daniel Yaoawumey,VOLTA,Hohoe Municipal,Municipal,Hohoe
Anthony Avogbedor,VOLTA,Ketu North Municipal,Municipal,Dzodze
Maxwell Kofie Lugudor,VOLTA,Ketu South Municipal,Municipal,Denu
Kudjo Edmund Attah,VOLTA,North Dayi District,District,Anfeoga
Divine Osbornfenu Kwadzo,VOLTA,North Tongu District,District,Battor  Dugame
Godwin Dzadzawa Kwame,VOLTA,South Dayi District,District,Kpeve
Seth Kwasi Agbu,VOLTA,South Tongu District,District,Sogakope
Seth Kwashie Yormewu,VOLTA,Anloga District,District,Anloga
Millicent Kabuki Carboo,OTI,Biakoye District,District,Nkonya
Elizabeth Kessewaah Adjornor,OTI,Jasikan District,District,Jasikan
Willson Agbanyo,OTI,Kadjebi District,District,Kadjebi
Francis K. Okesu,OTI,Krachi East Municipal,Municipal,Dambai
Kwasi Nkrumah Ogyile,OTI,Krachi Nchumuru District,District,Chinderi
Emmanuel Kajal Jalulah,OTI,Krachi West District,District,Kete  Krachi
Nawugma Kidinang William,OTI,Nkwanta North District,District,Kpassa
Lenwah Bright Kwame,OTI,Nkwanta South Municipal,Municipal,Nkwanta
Janet Emefa Obro-Goka,OTI,Guan District,District,Lipke-Mate
John Agyare,WESTERN,Ahanta West Municipal,Municipal,Agona Ahanta
Patrick Hockson Amponteng,WESTERN,Amenfi Central District,District, Manso Amenfi
Frederick Korankye,WESTERN,Wassa Amenfi East Municipal,Municipal, Wassa-Akropong
Lord Nana Tandoh,WESTERN,Amenfi West Municipal,Municipal, Asankrangwa
Kwasi Bonzoh,WESTERN,Ellembelle District,District, Nkroful
Louisa Iris Arde,WESTERN,Jomoro Municipal,Municipal, Half Assini
Dorcas Elizabeth Amoah,WESTERN,Nzema East Municipal,Municipal,Axim
Isaac Dasmani,WESTERN,Prestea-Huni Valley Municipal,Municipal, Prestea
Abdul-Mumin Issah,WESTERN,Sekondi Takoradi Metropolitan,Metropolitan, Sekondi
Ebenezer Dadzie,WESTERN,Shama District,District, Shama
 Benjamin Kessie,WESTERN,Tarkwa Nsuaem Municipal,Municipal, Tarkwa
Emmanuel Boakye,WESTERN,Wassa East District,District, Daboase
Kojo Acquah,WESTERN,Effia Kwesimintsim Municipal,Municipal,Kwesimintsim
Samuel Adu Gyamfi,WESTERN North,Aowin Municipal,Municipal,Enchi
Nicholas Kupog Yayin,WESTERN North,Bia East District,District, Adabokrom
Bernad Gyebi Blay,WESTERN North,Bia West District,District, Essam
Alfred Amoah,WESTERN North,Bibiani-Anhwiaso Bekwai Municipal,Municipal,Bibiani
Ignatus Akwai Amankwa,WESTERN North,Bodi District,District,Bodi
Godfred Kwabena Agyei,WESTERN North,Juaboso District,District, Juaboso
Amoah Yawson,WESTERN North,Sefwi Akontombra District,District, Akontombra
Louis Owusu-Agyepong,WESTERN North,Sefwi Wiawso Municipal,Municipal, Wiawso
Philip Kwabena Boahen,WESTERN North,Suaman District,District, Dadieso
David Kwasi Asare,ASHANTI,Offinso North District,District,Akomadan
Divine Richard Komla Bosson,VOLTA,Ho Municipal,Municipal,Ho
Emmanuel Gemegah,VOLTA,Keta Municipal,Municipal,Keta
Daniel Kenneth Addo,EASTERN,Okere District,District,Adukrom
Geoffery Kodzo Badasu,VOLTA,Kpando Municipal,Municipal,Kpando
Issahaku Arimeyaw Somo Lucky Basintale,NORTH East,West Mamprusi Municipal,Municipal,Walewale
